SKU NAME,Returnable,CODE NAME," WHOLE
SALE ", RETAIL 
JW Black Highland 1lt,Non-Returnable,BLACK HILAND , 245.54 , 266.67 
JW Black Islay 1lt,Non-Returnable,BLACK LABEL ISLAY, 245.54 , 266.67 
JW Dbl Blck 85cl 06X01 ,Non-Returnable,DBLE BLACK 85CL, 195.90 , 212.67 
JW Gold Rsv 75cl 04X01 F21,Non-Returnable,GOLD LABEL RSV, 269.81 , 293.25 
JW Aged 18 Yrs 75cl 18Y 06X01,Non-Returnable, AGE 18, 742.33 , 805.83 
JW Black75cl + Miniature 5cl Double,Non-Returnable,BLACK LABEL MIA, 258.33 , 280.00 
JW Black 1L 12Y 06X01 F22Glass,Non-Returnable,BLACK LABEL GLASS, 305.17 , 328.67 
JW Blue 75cl 03X01 F21 VAP,Non-Returnable,JW BLU," 1,349.06 "," 1,466.67 "
Tanq Lndn Gin 75cl 12X01,Non-Returnable,TANQ L, 178.33 , 193.33 
Tanq Ten 70cl 06X01,Non-Returnable,TANQ T, 259.00 , 281.67 
Ciroc 1L 12X01,Non-Returnable,CIROC , 395.42 , 429.33 
Ciroc Pineapple 1L 06X01,Non-Returnable,CIROC , 411.67 , 447.50 
Don Julio Anejo 75cl 06X01,Non-Returnable,DON JU, 769.17 , 833.33 
Don Julio Blnco 75cl 06X01,Non-Returnable,DON JU, 618.00 , 669.17 
Ketel One Vodka 75cl 12X01,Non-Returnable,KETEL ONE, 206.17 , 224.17 
Lagavulin 70cl 16Y 06X01,Non-Returnable,LAGAVU, 656.67 , 713.33 
Cardhu 70cl 12Y 06X01,Non-Returnable,CARDHU, 303.50 , 330.00 
Talisker 70cl 10Y 06X01,Non-Returnable,TALISK, 322.17 , 350.00 
Dtown - Sngltn 70cl 15Y 06X01,Non-Returnable,DTOWN , 525.00 , 570.67 
Dtown - Sngltn 75cl 12Y 12X01,Non-Returnable,DTOWN , 428.33 , 462.50 
Zacapa Cent 23 75cl 06X01,Non-Returnable,ZACAPA, 613.33 , 665.83 
Zacapa Cent XO 70cl 06X01,Non-Returnable,ZACAPA," 1,375.00 "," 1,492.33 "
